Opened,Closed,Held,Symbol,Type,Buy Qty,Sell Qty,Gross,Exec,Ecn Fee,SEC,TAF,NSCC,Clr,NASD,Net,Daily,Trigger,RiskTaken
11/04/14 09:30:53,09:31:49,00:00:56,RKT,Long,100,100,32.00,2.00,0.62,0.15,0.02,0.04,0.00,0.00,29.17,Resistance,Breakaway Gap,9999
11/04/14 09:31:13,09:32:52,00:01:39,LUV,Long,100,100,13.00,2.00,0.62,0.10,0.02,0.04,0.00,0.00,10.22,Resistance,Broke Resistance,9999
11/04/14 09:40:07,09:57:13,00:17:06,LUV,Long,200,200,69.00,4.00,1.24,0.20,0.04,0.08,0.00,0.00,63.44,Resistance,Broke Resistance,9999
11/04/14 09:51:18,10:01:58,00:10:40,EL,Long,200,200,69.50,4.00,1.23,0.41,0.05,0.08,0.00,0.00,63.73,Earnings,Pivot,9999
11/04/14 10:20:08,12:55:18,02:35:10,LUV,Long,400,400,(55.50),8.00,2.49,0.41,0.07,0.18,0.00,0.00,(66.65),Resistance,Pivot,9999
11/04/14 13:20:46,13:41:44,00:20:58,TWTR,Short,200,200,3.00,4.00,1.24,0.22,0.04,0.08,0.00,0.00,(2.58),Bias,New low,9999
11/04/14 13:38:07,13:44:39,00:06:32,UNG,Long,200,200,6.00,4.00,1.24,0.12,0.04,0.08,0.00,0.00,0.52,Spur,Ticker Alert,9999
11/04/14 13:59:31,15:59:03,01:59:32,TEVA,Long,200,200,2.50,4.00,1.23,0.32,0.04,0.06,0.00,0.00,(3.15),Spur,Ticker Alert,9999
11/05/14 09:34:58,09:38:36,00:03:38,KAR,Long,200,200,51.00,4.00,1.32,0.18,0.03,0.04,0.00,0.00,45.43,Resistance,Breakaway Gap,9999
11/05/14 09:52:59,09:59:56,00:06:57,ED,Long,200,200,(77.00),4.00,1.34,0.36,0.04,0.08,0.00,0.00,(82.82),Resistance,Called-out,9999
11/05/14 09:55:10,10:02:56,00:07:46,AM,Long,200,200,(48.00),4.00,1.24,0.18,0.04,0.08,0.00,0.00,(53.54),Spur,Ticker Alert,9999
11/05/14 10:19:19,11:38:11,01:18:52,AXP,Long,200,200,(76.00),4.00,1.03,0.50,0.04,0.08,0.00,0.00,(81.65),Spur,Emotion,9999
11/05/14 10:25:33,10:32:42,00:07:09,AM,Long,400,400,(6.00),8.00,2.45,0.33,0.06,0.10,0.00,0.00,(16.94),Spur,Ticker Alert,9999
11/06/14 09:32:12,09:56:09,00:23:57,WFC,Long,200,200,1.50,4.00,1.24,0.30,0.04,0.08,0.00,0.00,(4.16),Bullflag,Broke Flag,9999
11/06/14 09:33:37,09:55:51,00:22:14,WR,Long,201,201,(46.39),4.02,1.12,0.23,0.05,0.12,0.00,0.00,(51.93),Bullflag,Bullflag,9999
11/06/14 09:34:51,09:38:27,00:03:36,GE,Long,200,200,(10.00),4.00,1.22,0.15,0.03,0.04,0.00,0.00,(15.44),Bullflag,Broke Flag,9999
11/06/14 09:45:34,10:01:50,00:16:16,NCR,Long,200,200,(58.00),4.00,0.24,0.16,0.04,0.06,0.00,0.00,(62.50),Bullflag,Broke Flag,9999
11/07/14 09:36:53,09:44:04,00:07:11,SUNE,Short,200,200,(73.00),4.00,1.24,0.10,0.04,0.08,0.00,0.00,(78.46),Failed Bullflag,Called-out,9999
11/07/14 10:01:14,10:23:01,00:21:47,LEN,Long,300,300,(72.00),6.00,1.85,0.36,0.06,0.10,0.00,0.00,(80.37),Bullflag,Called-out,9999
11/10/14 09:38:50,09:39:57,00:01:07,TWTR,Short,200,200,37.00,4.00,1.23,0.22,0.03,0.06,0.00,0.00,31.46,Bearflag,Broke Flag,9999
11/10/14 09:47:27,15:56:17,06:08:50,ORCL,Long,400,400,86.00,8.00,2.05,0.44,0.07,0.10,0.00,0.00,75.34,Figure,Called-out,9999
11/10/14 10:09:49,10:20:59,00:11:10,CVS,Long,200,200,(30.80),4.00,1.25,0.49,0.04,0.10,0.00,0.00,(36.68),"Inside Day, Bullflag",Broke Flag,9999
11/10/14 11:30:32,12:43:01,01:12:29,IP,Long,100,100,5.00,2.00,0.62,0.15,0.02,0.04,0.00,0.00,2.17,Bullflag,Broke Flag,9999
